Type_logement,Nombre_pieces,Etages, Surface_Reelle, Annee_Construction, DP_consommation_reelle
"T4,""4"",""04"",""59"",""1962"",""165"""
"T3,""3"",""03"",""50"",""1962"",""165"""
"T3,""3"",""01"",""50"",""1962"",""165"""
"T4,""4"",""03"",""59"",""1962"",""165"""
"T4,""4"",""02"",""59"",""1962"",""165"""
"T4,""4"",""00"",""59"",""1962"",""165"""
"T3,""3"",""04"",""50"",""1962"",""165"""
"T3,""3"",""02"",""50"",""1962"",""165"""
"T4,""4"",""00"",""59"",""1962"",""165"""
"T5,""5"",""02"",""74"",""1962"",""165"""
"T4,""4"",""03"",""74"",""1962"",""165"""
"T4,""4"",""01"",""74"",""1962"",""165"""
"T4,""4"",""04"",""59"",""1962"",""165"""
"T4,""4"",""02"",""59"",""1962"",""165"""
"T4,""4"",""03"",""59"",""1962"",""165"""
"T4,""4"",""01"",""59"",""1962"",""165"""
"T4,""4"",""04"",""74"",""1962"",""165"""
"T5,""5"",""00"",""74"",""1962"",""165"""
"T3,""3"",""02"",""50"",""1962"",""165"""
"T3,""3"",""00"",""50"",""1962"",""165"""
"T4,""4"",""02"",""59"",""1962"",""165"""
"T4,""4"",""04"",""59"",""1962"",""165"""
"T4,""4"",""01"",""59"",""1962"",""165"""
"T4,""4"",""03"",""59"",""1962"",""165"""
"T3,""3"",""03"",""50"",""1962"",""165"""
"T3,""3"",""01"",""50"",""1962"",""165"""
"T3,""3"",""04"",""50"",""1962"",""165"""
"T4,""4"",""00"",""61"",""1962"",""165"""
"T4,""4"",""01"",""59"",""1962"",""165"""
"T3,""3"",""03"",""50"",""1962"",""165"""
"T3,""3"",""01"",""50"",""1962"",""165"""
"T3,""3"",""00"",""50"",""1962"",""165"""
"T3,""3"",""04"",""50"",""1962"",""165"""
"T4,""4"",""02"",""59"",""1962"",""165"""
"T3,""3"",""02"",""50"",""1962"",""165"""
"T4,""4"",""04"",""59"",""1962"",""165"""
"T4,""4"",""03"",""59"",""1962"",""165"""
"T4,""4"",""00"",""59"",""1962"",""165"""
"T4,""4"",""00"",""59"",""1962"",""165"""
"T3,""3"",""01"",""50"",""1962"",""165"""
"T4,""4"",""01"",""59"",""1962"",""165"""
"T3,""3"",""00"",""50"",""1962"",""165"""
"T4,""4"",""03"",""59"",""1962"",""165"""
"T3,""3"",""04"",""50"",""1962"",""165"""
"T3,""3"",""03"",""50"",""1962"",""165"""
"T3,""3"",""02"",""50"",""1962"",""165"""
"T4,""4"",""04"",""59"",""1962"",""165"""
"T4,""4"",""02"",""59"",""1962"",""165"""
"GA,""0"",""00"",,,"
"GA,""0"",""00"",,,"
"GA,""0"",""00"",,,"
"LV,""0"",""00"",,,"
"LV,""0"",""00"",,,"
"LV,""0"",""00"",,,"
"LV,""0"",""00"",,,"
"LV,""0"",""00"",,,"
"LV,""0"",""00"",,,"
"LV,""0"",""00"",,,"
"LV,""0"",""00"",,,"
"LV,""0"",""00"",,,"
"LV,""0"",""00"",,,"
"LV,""0"",""00"",,,"
"P4,""4"",""00"",""87,3"",""2005"",""126"""
"P4,""4"",""00"",""87,3"",""2005"",""126"""
"P4,""4"",""00"",""87,3"",""2005"",""126"""
"P3,""3"",""00"",""64,9"",""2005"",""126"""
"P3,""3"",""00"",""73,65"",""2005"",""126"""
"P4,""4"",""00"",""87,3"",""2005"",""126"""
"P3,""3"",""00"",""73,65"",""2005"",""126"""
"P4,""4"",""00"",""87,3"",""2005"",""126"""
"P4,""4"",""00"",""87,3"",""2005"",""126"""
"P5,""5"",""00"",""108,8"",""2005"",""126"""
"P5,""5"",""00"",""108,8"",""2005"",""126"""
"P3,""3"",""00"",""68,6"",""2005"",""126"""
"P3,""3"",""00"",""68,6"",""2005"",""126"""
"T3,""3"",""06"",""74"",""1979"",""183"""
"T2,""2"",""04"",""57"",""1979"",""183"""
"T4,""4"",""04"",""86"",""1979"",""183"""
"T2,""2"",""06"",""57"",""1979"",""183"""
"T3,""3"",""04"",""74"",""1979"",""183"""
"T3,""3"",""01"",""74"",""1979"",""183"""
"T4,""4"",""01"",""86"",""1979"",""183"""
"T4,""4"",""02"",""86"",""1979"",""183"""
"T4,""4"",""00"",""86"",""1979"",""183"""
"T4,""4"",""00"",""86"",""1979"",""183"""
"T3,""3"",""03"",""74"",""1979"",""183"""
"T2,""2"",""03"",""57"",""1979"",""183"""
"T3,""3"",""06"",""74"",""1979"",""183"""
"T4,""4"",""06"",""86"",""1979"",""183"""
"T2,""2"",""04"",""57"",""1979"",""183"""
"T4,""4"",""03"",""86"",""1979"",""183"""
"T1,""1"",""00"",""37"",""1979"",""183"""
"T3,""3"",""03"",""74"",""1979"",""183"""
"T2,""2"",""06"",""57"",""1979"",""183"""
"T2,""2"",""02"",""57"",""1979"",""183"""
"T3,""3"",""04"",""74"",""1979"",""183"""
"T3,""3"",""05"",""74"",""1979"",""183"""
"T3,""3"",""02"",""74"",""1979"",""183"""
"T2,""2"",""02"",""57"",""1979"",""183"""
"T4,""4"",""03"",""86"",""1979"",""183"""
"T4,""4"",""05"",""86"",""1979"",""183"""
"T2,""2"",""03"",""57"",""1979"",""183"""
"T3,""3"",""00"",""74"",""1979"",""183"""
"T3,""3"",""00"",""74"",""1979"",""183"""
"T4,""4"",""02"",""86"",""1979"",""183"""
"T4,""4"",""01"",""86"",""1979"",""183"""
"T2,""2"",""05"",""57"",""1979"",""183"""
"T2,""2"",""05"",""57"",""1979"",""183"""
"T2,""2"",""01"",""57"",""1979"",""183"""
"T4,""4"",""05"",""86"",""1979"",""183"""
"T2,""2"",""00"",""55"",""1979"",""183"""
"T4,""4"",""06"",""86"",""1979"",""183"""
"T4,""4"",""04"",""86"",""1979"",""183"""
"T3,""3"",""05"",""74"",""1979"",""183"""
"T3,""3"",""02"",""74"",""1979"",""183"""
"T2,""2"",""01"",""57"",""1979"",""183"""
"T3,""3"",""01"",""74"",""1979"",""183"""
"T3,""3"",""01"",""74"",""1979"",""183"""
"T2,""2"",""01"",""57"",""1979"",""183"""
"T2,""2"",""05"",""57"",""1979"",""183"""
"T1,""1"",""00"",""37"",""1979"",""183"""
"T3,""3"",""04"",""74"",""1979"",""183"""
"T2,""2"",""01"",""57"",""1979"",""183"""
"T2,""2"",""00"",""52"",""1979"",""183"""
"T3,""3"",""00"",""73"",""1979"",""183"""
"T4,""4"",""01"",""86"",""1979"",""183"""
"T4,""4"",""04"",""86"",""1979"",""183"""
"T4,""4"",""04"",""86"",""1979"",""183"""
"T4,""4"",""03"",""86"",""1979"",""183"""
"T4,""4"",""02"",""86"",""1979"",""183"""
"T3,""3"",""05"",""74"",""1979"",""183"""
"T3,""3"",""02"",""74"",""1979"",""183"""
"T3,""3"",""03"",""74"",""1979"",""183"""
"T2,""2"",""04"",""57"",""1979"",""183"""
"T4,""4"",""02"",""86"",""1979"",""183"""
"T3,""3"",""05"",""74"",""1979"",""183"""
"T2,""2"",""02"",""57"",""1979"",""183"""
"T2,""2"",""03"",""57"",""1979"",""183"""
"T2,""2"",""04"",""57"",""1979"",""183"""
"T3,""3"",""03"",""74"",""1979"",""183"""
"T2,""2"",""03"",""57"",""1979"",""183"""
"T3,""3"",""02"",""74"",""1979"",""183"""
"T4,""4"",""03"",""86"",""1979"",""183"""
"T4,""4"",""05"",""86"",""1979"",""183"""
"T2,""2"",""05"",""57"",""1979"",""183"""
"T3,""3"",""04"",""74"",""1979"",""183"""
"T3,""3"",""00"",""72"",""1979"",""183"""
"T4,""4"",""00"",""86"",""1979"",""183"""
"T4,""4"",""01"",""86"",""1979"",""183"""
"T2,""2"",""02"",""57"",""1979"",""183"""
"T3,""3"",""01"",""74"",""1979"",""183"""
"T3,""3"",""00"",""72"",""1979"",""183"""
"T4,""4"",""05"",""86"",""1979"",""183"""
"T2,""2"",""01"",""67"",""1979"",""183"""
"T3,""3"",""02"",""74"",""1979"",""183"""
"T2,""2"",""06"",""55"",""1979"",""183"""
"T3,""3"",""01"",""74"",""1979"",""183"""
"T3,""3"",""06"",""74"",""1979"",""183"""
"T4,""4"",""05"",""86"",""1979"",""183"""
"T4,""4"",""00"",""86"",""1979"",""183"""
"T2,""2"",""05"",""67"",""1979"",""183"""
"T3,""3"",""06"",""74"",""1979"",""183"""
"T3,""3"",""03"",""74"",""1979"",""183"""
"T4,""4"",""01"",""86"",""1979"",""183"""
"T4,""4"",""04"",""86"",""1979"",""183"""
"T4,""4"",""03"",""86"",""1979"",""183"""
"T4,""4"",""02"",""86"",""1979"",""183"""
"T2,""2"",""02"",""67"",""1979"",""183"""
"T3,""3"",""02"",""74"",""1979"",""183"""
"T1,""1"",""00"",""37"",""1979"",""183"""
